WKT,LATITUDE,LONGITUDE,BRIGHTNESS,SCAN,TRACK,ACQ_DATE,ACQ_TIME,SATELLITE,INSTRUMENT,CONFIDENCE,VERSION,BRIGHT_T31,FRP,DAYNIGHT,TYPE
"MULTIPOINT ((4.886 36.8314))",36.8314000000,4.8860000000,304.0000000000,2.3000000000,1.5000000000,2001/01/06,"1119",Terra,MODIS,58,"6.03",291.2000000000,15.7000000000,D,0
"MULTIPOINT ((4.8783 36.777))",36.7770000000,4.8783000000,317.9000000000,1.0000000000,1.0000000000,2001/03/24,"1047",Terra,MODIS,43,"6.03",305.7000000000,7.3000000000,D,0
"MULTIPOINT ((4.4667 36.4896))",36.4896000000,4.4667000000,375.1000000000,1.4000000000,1.2000000000,2001/07/19,"1103",Terra,MODIS,100,"6.03",308.7000000000,210.0000000000,D,0
"MULTIPOINT ((4.4857 36.486))",36.4860000000,4.4857000000,322.2000000000,1.4000000000,1.2000000000,2001/07/19,"1103",Terra,MODIS,32,"6.03",306.4000000000,12.0000000000,D,0
"MULTIPOINT ((4.4596 36.4857))",36.4857000000,4.4596000000,358.4000000000,1.4000000000,1.2000000000,2001/07/19,"1103",Terra,MODIS,99,"6.03",308.9000000000,119.6000000000,D,0
"MULTIPOINT ((4.4767 36.4825))",36.4825000000,4.4767000000,344.8000000000,1.4000000000,1.2000000000,2001/07/19,"1103",Terra,MODIS,90,"6.03",308.6000000000,66.6000000000,D,0
"MULTIPOINT ((4.5846 36.5554))",36.5554000000,4.5846000000,327.6000000000,1.2000000000,1.1000000000,2001/07/28,"1057",Terra,MODIS,61,"6.03",309.3000000000,13.5000000000,D,0
"MULTIPOINT ((4.4326 36.4646))",36.4646000000,4.4326000000,317.7000000000,1.0000000000,1.0000000000,2001/07/28,"2200",Terra,MODIS,95,"6.03",284.1000000000,15.8000000000,N,0
"MULTIPOINT ((4.4426 36.4751))",36.4751000000,4.4426000000,307.3000000000,1.0000000000,1.0000000000,2001/07/28,"2200",Terra,MODIS,35,"6.03",290.0000000000,6.6000000000,N,0
"MULTIPOINT ((4.431 36.4736))",36.4736000000,4.4310000000,337.6000000000,1.0000000000,1.0000000000,2001/07/28,"2200",Terra,MODIS,100,"6.03",287.6000000000,40.7000000000,N,0
"MULTIPOINT ((4.5217 36.7338))",36.7338000000,4.5217000000,326.4000000000,1.0000000000,1.0000000000,2001/07/30,"1044",Terra,MODIS,38,"6.03",305.9000000000,12.9000000000,D,0
"MULTIPOINT ((5.2481 36.5929))",36.5929000000,5.2481000000,309.0000000000,1.3000000000,1.1000000000,2001/08/01,"2135",Terra,MODIS,73,"6.03",296.5000000000,9.9000000000,N,0
"MULTIPOINT ((4.5437 36.7354))",36.7354000000,4.5437000000,345.1000000000,1.0000000000,1.0000000000,2001/08/15,"1044",Terra,MODIS,90,"6.03",316.7000000000,36.1000000000,D,0
"MULTIPOINT ((4.5415 36.7265))",36.7265000000,4.5415000000,362.7000000000,1.0000000000,1.0000000000,2001/08/15,"1044",Terra,MODIS,100,"6.03",312.3000000000,80.0000000000,D,0
"MULTIPOINT ((4.4433 36.2794))",36.2794000000,4.4433000000,333.4000000000,1.0000000000,1.0000000000,2001/08/15,"1044",Terra,MODIS,45,"6.03",318.0000000000,11.0000000000,D,0
"MULTIPOINT ((4.4523 36.2688))",36.2688000000,4.4523000000,333.9000000000,1.0000000000,1.0000000000,2001/08/15,"1044",Terra,MODIS,52,"6.03",316.4000000000,12.3000000000,D,0
"MULTIPOINT ((5.2367 36.573))",36.5730000000,5.2367000000,301.1000000000,1.1000000000,1.1000000000,2001/08/24,"2141",Terra,MODIS,38,"6.03",290.3000000000,5.1000000000,N,0
"MULTIPOINT ((4.4739 36.4864))",36.4864000000,4.4739000000,326.7000000000,1.3000000000,1.1000000000,2001/08/26,"1025",Terra,MODIS,45,"6.03",313.5000000000,13.3000000000,D,0
"MULTIPOINT ((5.4611 36.5834))",36.5834000000,5.4611000000,317.8000000000,1.0000000000,1.0000000000,2001/08/31,"1043",Terra,MODIS,37,"6.03",296.9000000000,10.4000000000,D,0
"MULTIPOINT ((5.3359 36.5938))",36.5938000000,5.3359000000,335.8000000000,1.0000000000,1.0000000000,2001/08/31,"1043",Terra,MODIS,85,"6.03",299.4000000000,29.9000000000,D,0
